x,y,alpha
-116.60486111111483,33.522916666671165,-0.14766408006350198
-116.60486111111483,33.52319444444895,-0.1747972865899404
-116.60486111111483,33.523472222226715,-0.15923393269379935
-116.60486111111483,33.5237500000045,-0.15367124478022257
-116.60486111111483,33.524027777782266,-0.14159040649731955
-116.60486111111483,33.52430555556005,-0.12969750662644705
-116.60486111111483,33.524583333337816,-0.14764254788557687
-116.60486111111483,33.5248611111156,-0.13833221793174744
-116.60486111111483,33.525138888893366,-0.15169747670491537
-116.60486111111483,33.52541666667115,-0.15719238917032877
-116.60486111111483,33.525694444448916,-0.14503066738446554
-116.60486111111483,33.5259722222267,-0.14733381072680155
-116.60486111111483,33.52625000000447,-0.15261955062548319
-116.60486111111483,33.52652777778225,-0.14843546350797018
-116.60486111111483,33.52680555556002,-0.1598033905029297
-116.60458333333706,33.520972222226746,-0.14511661728223166
-116.60458333333706,33.521250000004514,-0.14185290535291037
-116.60458333333706,33.521527777782296,-0.1467177470525106
-116.60458333333706,33.521805555560064,-0.15775876740614572
-116.60458333333706,33.52208333333785,-0.15688800315062204
-116.60458333333706,33.522361111115615,-0.14651953180631003
-116.60458333333706,33.5226388888934,-0.15197500586509705
-116.60458333333706,33.522916666671165,-0.1562779744466146
-116.60458333333706,33.52319444444895,-0.14957397679487863
-116.60458333333706,33.523472222226715,-0.15885934233665466
-116.60458333333706,33.5237500000045,-0.15456229448318481
-116.60458333333706,33.524027777782266,-0.14159040649731955
-116.60458333333706,33.52430555556005,-0.16093190014362335
-116.60458333333706,33.524583333337816,-0.1450181802113851
-116.60458333333706,33.5248611111156,-0.13842448592185974
-116.60458333333706,33.525138888893366,-0.15058861672878265
-116.60458333333706,33.52541666667115,-0.15589343011379242
-116.60458333333706,33.525694444448916,-0.1365627497434616
-116.60458333333706,33.5259722222267,-0.14836997787157694
-116.60458333333706,33.52625000000447,-0.16000649333000183
-116.60458333333706,33.52652777778225,-0.14687712490558624
-116.60458333333706,33.52680555556002,-0.1353906293710073
-116.60458333333706,33.5270833333378,-0.15074960390726724
-116.60430555555929,33.520972222226746,-0.14490885039170584
-116.60430555555929,33.521250000004514,-0.13797839482625326
-116.60430555555929,33.521527777782296,-0.1573567787806193
-116.60430555555929,33.521805555560064,-0.1270593504110972
-116.60430555555929,33.52208333333785,-0.15962926546732584
